X,Y,Fuel_Model,Burn_Probability
-2012355.0,2765325.0,32767,0.2
-2012325.0,2765325.0,32767,0.2
-2012295.0,2765325.0,32767,0.2
-2012265.0,2765325.0,32767,0.2
-2012235.0,2765325.0,32767,0.2
-2012205.0,2765325.0,32767,0.2
-2012175.0,2765325.0,32767,0.2
-2012145.0,2765325.0,32767,0.2
-2012115.0,2765325.0,32767,0.2
-2012085.0,2765325.0,32767,0.2
-2012055.0,2765325.0,32767,0.2
-2012025.0,2765325.0,32767,0.2
-2011995.0,2765325.0,32767,0.2
-2011965.0,2765325.0,32767,0.2
-2011935.0,2765325.0,32767,0.2
-2011905.0,2765325.0,32767,0.2
-2011875.0,2765325.0,32767,0.2
-2011845.0,2765325.0,32767,0.2
-2011815.0,2765325.0,32767,0.2
-2011785.0,2765325.0,32767,0.2
-2011755.0,2765325.0,32767,0.2
-2011725.0,2765325.0,32767,0.2
-2011695.0,2765325.0,32767,0.2
-2011665.0,2765325.0,32767,0.2
-2011635.0,2765325.0,32767,0.2
-2011605.0,2765325.0,32767,0.2
-2011575.0,2765325.0,32767,0.2
-2011545.0,2765325.0,32767,0.2
-2011515.0,2765325.0,32767,0.2
-2011485.0,2765325.0,32767,0.2
-2011455.0,2765325.0,32767,0.2
-2011425.0,2765325.0,32767,0.2
-2011395.0,2765325.0,32767,0.2
-2011365.0,2765325.0,32767,0.2
-2011335.0,2765325.0,32767,0.2
-2011305.0,2765325.0,32767,0.2
-2011275.0,2765325.0,32767,0.2
-2011245.0,2765325.0,32767,0.2
-2011215.0,2765325.0,32767,0.2
-2011185.0,2765325.0,32767,0.2
-2011155.0,2765325.0,32767,0.2
-2011125.0,2765325.0,32767,0.2
-2011095.0,2765325.0,32767,0.2
-2011065.0,2765325.0,32767,0.2
-2011035.0,2765325.0,32767,0.2
-2011005.0,2765325.0,32767,0.2
-2010975.0,2765325.0,32767,0.2
-2010945.0,2765325.0,32767,0.2
-2010915.0,2765325.0,32767,0.2
-2010885.0,2765325.0,32767,0.2
-2010855.0,2765325.0,32767,0.2
-2010825.0,2765325.0,32767,0.2
-2010795.0,2765325.0,32767,0.2
-2010765.0,2765325.0,32767,0.2
-2010735.0,2765325.0,32767,0.2
-2010705.0,2765325.0,32767,0.2
-2010675.0,2765325.0,32767,0.2
-2010645.0,2765325.0,10,0.5
-2010615.0,2765325.0,10,0.5
-2010585.0,2765325.0,9,0.4
-2010555.0,2765325.0,32767,0.2
-2010525.0,2765325.0,32767,0.2
-2010495.0,2765325.0,32767,0.2
-2010465.0,2765325.0,32767,0.2
-2010435.0,2765325.0,32767,0.2
-2010405.0,2765325.0,32767,0.2
-2010375.0,2765325.0,32767,0.2
-2010345.0,2765325.0,32767,0.2
-2010315.0,2765325.0,32767,0.2
-2010285.0,2765325.0,32767,0.2
-2010255.0,2765325.0,32767,0.2
-2010225.0,2765325.0,32767,0.2
-2010195.0,2765325.0,32767,0.2
-2010165.0,2765325.0,32767,0.2
-2010135.0,2765325.0,32767,0.2
-2010105.0,2765325.0,32767,0.2
-2010075.0,2765325.0,32767,0.2
-2010045.0,2765325.0,32767,0.2
-2010015.0,2765325.0,32767,0.2
-2009985.0,2765325.0,32767,0.2
-2009955.0,2765325.0,32767,0.2
-2009925.0,2765325.0,32767,0.2
-2009895.0,2765325.0,32767,0.2
-2009865.0,2765325.0,32767,0.2
-2009835.0,2765325.0,32767,0.2
-2009805.0,2765325.0,32767,0.2
-2009775.0,2765325.0,32767,0.2
-2009745.0,2765325.0,32767,0.2
-2009715.0,2765325.0,32767,0.2
-2009685.0,2765325.0,32767,0.2
-2009655.0,2765325.0,32767,0.2
-2009625.0,2765325.0,32767,0.2
-2009595.0,2765325.0,32767,0.2
-2009565.0,2765325.0,32767,0.2
-2009535.0,2765325.0,32767,0.2
-2009505.0,2765325.0,32767,0.2
-2009475.0,2765325.0,32767,0.2
-2009445.0,2765325.0,32767,0.2
-2009415.0,2765325.0,32767,0.2
-2009385.0,2765325.0,32767,0.2
-2009355.0,2765325.0,32767,0.2
-2009325.0,2765325.0,32767,0.2
-2009295.0,2765325.0,32767,0.2
-2009265.0,2765325.0,32767,0.2
-2009235.0,2765325.0,32767,0.2
-2009205.0,2765325.0,32767,0.2
-2009175.0,2765325.0,32767,0.2
-2009145.0,2765325.0,32767,0.2
-2009115.0,2765325.0,32767,0.2
